,,,,Website,,
,RO ARAD02,UNIVERSITATEA DE VEST „VASILE GOLDIȘ” DIN ARAD,BUSINESS MANAGEMENT,https://www.uvvg.ro/studenti/erasmus/,uvvg.ro,https://www.google.com/s2/favicons?domain=uvvg.ro&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,MEDICINE,,,
,,,COMPUTER ENGINEERING (FOR STAFF ONLY),,,
,,,COMPUTER PROGRAMMING (FOR STAFF ONLY),,,
,,,COMPUTER TECHNOLOGY (FOR STAFF ONLY),,,
,,,DENTISTRY (FOR STAFF ONLY),,,
,,,ORAL AND DENTAL HEALTH PROGRAMME (FOR STAFF ONLY),,,
,,,DENTAL PROSTHESIS TECHNOLOGY PROGRAMME (FOR STAFF ONLY),,,
,RO BRASOV01,UNIVERSITATEA TRANSILVANIA DIN BRASOV,BUSINESS MANAGEMENT,https://www.unitbv.ro/en/erasmus-students/incoming-students,unitbv.ro,https://www.google.com/s2/favicons?domain=unitbv.ro&sz=256
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,ELECTRICITY,,,
,,,MECHANICAL ENGINEERING,,,
,,,AEROSPACE ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,AUTOMOTIVE TECHNOLOGY,,,
,RO BUCURES04,ACADEMIA DE STUDII ECONOMICE DIN BUCURESTI,BUSINESS MANAGEMENT,https://international.ase.ro/21/erasmus/,international.ase.ro,https://www.google.com/s2/favicons?domain=international.ase.ro&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,RO BUCURES09,UNIVERSITATEA DIN BUCURESTI,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://unibuc.ro/international/programul-erasmus/,unibuc.ro,https://www.google.com/s2/favicons?domain=unibuc.ro&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,RO BUCURES18,UNIVERSITATEA ROMANO AMERICANA ,BUSINESS MANAGEMENT,https://www.rau.ro/erasmus/,rau.ro,https://www.google.com/s2/favicons?domain=rau.ro&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,COMPUTER ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER TECHNOLOGY,,,
,,,SPORTS MANAGEMENT,,,
,RO BUCURES25,UNIVERSITATEA ECOLOGICA DIN BUCURESTI,LAW,https://www.ueb.ro/erasmus/,ueb.ro,https://www.google.com/s2/favicons?domain=ueb.ro&sz=256
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,PSYCHOLOGY,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,PUBLIC RELATIONS and PUBLICTY,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,RO BUCURES43,"UNIVERSITY POLITEHICA OF BUCHAREST (UPB)
",ELECTRICITY,https://upb.ro/erasmus/,upb.ro,https://www.google.com/s2/favicons?domain=upb.ro&sz=256
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,RO CLUJNAP01,UNIVERSITATEA BABES BOLYAI,JOURNALISM,https://cci.ubbcluj.ro/erasmus/incoming-students/,cci.ubbcluj.ro,https://www.google.com/s2/favicons?domain=cci.ubbcluj.ro&sz=256
,,,ADVERTISEMENT,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,RO CONSTAN02,UNIVERSITATEA OVIDIUS DIN CONSTANTA,MEDICINE,https://dri.univ-ovidius.ro/en/erasmus-plus-office,dri.univ-ovidius.ro,https://www.google.com/s2/favicons?domain=dri.univ-ovidius.ro&sz=256
,RO CRAIOVA01,UNIVERSITATEA DIN CRAIOVA,BUSINESS MANAGEMENT,https://www.ucv.ro/en/international/programe/programe_europene/erasmus.php,ucv.ro,https://www.google.com/s2/favicons?domain=ucv.ro&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION ,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,RO GALATI01,UNIVERSITATEA DUNAREA DE JOS DIN GALATI,SPORTS MANAGEMENT,https://en.ugal.ro/studies/erasmus-programme,en.ugal.ro,https://www.google.com/s2/favicons?domain=en.ugal.ro&sz=256
,,,FOOD ENGINEERING,,,
,,,FOOD SAFETY,,,
,,,FOOD TECHNOLOGY,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,FOREIGN TRADE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION ,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,MANAGEMENT INFORMATION SYSTEMS (FOR STAFF ONLY),,,
,,,SOFTWARE DEVELOPMENT (FOR STAFF ONLY),,,
,,,SOFTWARE ENGINEERING (FOR STAFF ONLY),,,
,,,COMPUTER ENGINEERING (FOR STAFF ONLY),,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,MEDICINE,,,
,,,DENTISTRY ,,,
,RO IASI01,UNIVERSITATEA NATIONALA DE ARTE GEORGE ENESCU DIN IASI,GRAPHIC DESIGN,https://www.arteiasi.ro/international/erasmus/,arteiasi.ro,https://www.google.com/s2/favicons?domain=arteiasi.ro&sz=256
,,,TEXTILE and FASHION DESIGN,,,
,RO IASI02,UNIVERSITATEA ALEXANDRU IOAN CUZA DIN IASI,BUSINESS MANAGEMENT,https://www.uaic.ro/international/programul-erasmus/,uaic.ro,https://www.google.com/s2/favicons?domain=uaic.ro&sz=256
,,,MANAGEMENT INFORMATION UNIVERSITY,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,RO IASI05,UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI,CIVIL ENGINEERING,https://www.tuiasi.ro/erasmus/?lang=en,tuiasi.ro,https://www.google.com/s2/favicons?domain=tuiasi.ro&sz=256
,RO ORADEA01,UNIVERSITATEA DIN ORADEA,ARCHITECTURE,https://www.uoradea.ro/international/erasmus-mobilitati/erasmus-plus-mobilitati-acorduri/,uoradea.ro,https://www.google.com/s2/favicons?domain=uoradea.ro&sz=256
,,,GRAPHIC DESIGN,,,
,,,FASHION DESIGN,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,RO ORADEA02,UNIVERSITATEA CREȘTINĂ PARTIUM,GRAPHIC DESIGN,https://partium.ro/ro/international-ro/erasmus-ro/documente_ro,partium.ro,https://www.google.com/s2/favicons?domain=partium.ro&sz=256
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION ,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,FOREIGN TRADE,,,
,,,SOCIOLOGY,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,PRIMARY EDUCATION,,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,PSYCHOLOGICAL COUNSELLING AND GUIDANCE,,,
,,,SOCIAL WORK,,,
,RO PETROSA01,UNIVERSITATEA DIN PETROSANI,SOFTWARE ENGINEERING,https://www.upet.ro/erasmus/,upet.ro,https://www.google.com/s2/favicons?domain=upet.ro&sz=256
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER TECHNOLOGY,,,
,,,MECHANICAL ENGINEERING,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,BUSINESS MANAGEMENT,,,
,RO SIBIU01,UNIVERSITATEA LUCIAN BLAGA DIN SIBIU,COMPUTER ENGINEERING,https://international.ulbsibiu.ro/erasmus/,international.ulbsibiu.ro,https://www.google.com/s2/favicons?domain=international.ulbsibiu.ro&sz=256
,,,COMPUTER PROGRAMMING,,,
,,,DENTISTRY ,,,
,,,BUSINESS MANAGEMENT,,,
,,,MECHANICAL ENGINEERING,,,
,,,MEDICINE,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,RO TARGU02,"UNIVERSITATEA DE MEDICINA, FARMACIE, STIINTE SI TEHNOLOGIE ""GEORGE EMIL PALADE"" DIN TARGU MURES",MEDICINE,https://umfst.ro/en/university/international-relations/erasmus-plus/eu-mobilities/studenti/incoming/,umfst.ro,https://www.google.com/s2/favicons?domain=umfst.ro&sz=256
,,,DENTISTRY ,,,
,,,NUTRITION AND DIETETICS (JUST INTERNSHIP AND STAFF MOBILITY ),,,
,,,PHARMACY (FOR STAFF ONLY),,,
,RO TARGU04,UNIVERSITATEA CONSTANTIN BRANCUSI TARGU JIU,SPORTS MANAGEMENT,https://www.utgjiu.ro/studenti/burse-si-taxe/burse-internationale/,utgjiu.ro,https://www.google.com/s2/favicons?domain=utgjiu.ro&sz=256
,,,NURSING,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,MECHANICAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,BUSINESS MANAGEMENT,,,
,,,APPLIED TRANSLATION AND INTERPRETING (ENGLISH TURKISH),,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,LAW,,,
,,,SOFTWARE ENGINEERING,,,
,RO BUCURES06,UNIVERSITATEA NATIONALA DE EDUCATIE FIZICA SI SPORT DIN BUCURESTI,PHYSİOTHERAPY AND REHABİLİTATİON,https://unefs.ro/erasmus,unefs.ro,https://www.google.com/s2/favicons?domain=unefs.ro&sz=256
,,,SPORTS ,,,
SERBIA,RS BELGRAD02,UNIVERZITET U BEOGRADU,MANAGEMENT INFORMATION SYSTEM,https://www.bg.ac.rs/mobilnost-i-razmena/,bg.ac.rs,https://www.google.com/s2/favicons?domain=bg.ac.rs&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,RS NIS01,UNIVERZITET U NISU,BUSINESS MANAGEMENT,https://www.ni.ac.rs/en/international-cooperation/international-programs/erasmus-plus,ni.ac.rs,https://www.google.com/s2/favicons?domain=ni.ac.rs&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-RUSSIAN),,,
,RS NOVISAD01,VISOKA POSLOVNA SKOLA STRUKOVNIH STUDIJA U NOVOM SADU,,https://www.vps.ns.ac.rs/en/international-affairs/mobility/outgoing-mobility/,vps.ns.ac.rs,https://www.google.com/s2/favicons?domain=vps.ns.ac.rs&sz=256
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RS NOVIPAZ01,UNIVERZITET U NOVOM PAZARU,COMPUTER ENGINEERING,https://uninp.edu.rs/srp/erasmus/,uninp.edu.rs,https://www.google.com/s2/favicons?domain=uninp.edu.rs&sz=256
,,,SOFTWARE DEVELOPMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,PSYCHOLOGY,,,
,,,GRAPHIC DESIGN,,,
,,,FASHION DESIGN,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,LAW,,,
SLOVAKIA,SK BRATISL01,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,MECHANICAL ENGINEERING,https://www.stuba.sk/english/exchange-students/application-procedure-for-erasmus-incoming-students.html?page_id=10319,stuba.sk,https://www.google.com/s2/favicons?domain=stuba.sk&sz=256
,,,ARCHITECTURE,,,
,SK BRATISL02,UNIVERZITA KOMENSKEHO V BRATISLAVE,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://uniba.sk/erasmus/,uniba.sk,https://www.google.com/s2/favicons?domain=uniba.sk&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,ENGLISH LANGUAGE ANd LITERATURE,,,
,SK BRATISL08,PAN-EUROPEAN UNIVERSITY,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.paneurouni.com/en/international-relations/erasmus/,paneurouni.com,https://www.google.com/s2/favicons?domain=paneurouni.com&sz=256
,,,MANAGEMENT and INFORMATION SYSTEM,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,SK KOMARNO01,UNIVERZITA J. SELYEHO,ENGLISH LANGUAGE ANd LITERATURE,https://pf.ujs.sk/en/interantional-relations/mobility-programmes/erasmus.html,pf.ujs.sk,https://www.google.com/s2/favicons?domain=pf.ujs.sk&sz=256
,,,BUSINESS MANAGEMENT,,,
,SK KOSICE02,UNIVERZITA PAVLA JOZEFA SAFARIKA V KOSICIACH,SPORTS MANAGEMENT,https://www.upjs.sk/en/information/international-relations/erasmus/ka131/,upjs.sk,https://www.google.com/s2/favicons?domain=upjs.sk&sz=256
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,SK NITRA01,UNIVERZITA KONSTANTINA FILOZOFA VNITRE,ADVERTISEMENT,https://www.ukf.sk/en/international-relations/erasmus,ukf.sk,https://www.google.com/s2/favicons?domain=ukf.sk&sz=256
,,,NEW MEDIA and COMMUNICATION,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,JOURNALISM,,,
SLOVENIA,SI KOPER03,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.upr.si/en/up--environment/global-partnership/erasmus/,upr.si,https://www.google.com/s2/favicons?domain=upr.si&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,SI LJUBLJA30,"B2 VISOKA ŠOLA ZA POSLOVNE VEDE, ZAVOD",BUSINESS MANAGEMENT,https://www.vspv.si/en/mobilities,vspv.si,https://www.google.com/s2/favicons?domain=vspv.si&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER PROGRAMMING,,,
,SI MARIBOR01,UNIVERZA V MARIBORU,COMPUTER PROGRAMMING,https://www.erasmusplus.um.si/international-students/,erasmusplus.um.si,https://www.google.com/s2/favicons?domain=erasmusplus.um.si&sz=256
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER TECHNOLOGY,,,
,,,SOFTWARE ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,FOREIGN TRADE,,,
,,,ECONOMICS AND FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,SI NOVA-GO04,"NOVA UNIVERZA, EVROPSKA PRAVNA FAKULTETA",LAW,https://epf.nova-uni.si/en/international-cooperation/,epf.nova-uni.si,https://www.google.com/s2/favicons?domain=epf.nova-uni.si&sz=256
,SI PORTORO02,GEA COLLEGE - FAKULTETA ZA PODJETNISTVO,INTERNATIONAL TRADE AND FINANCE,https://gea-college.si/en/international-office/erasmus-programme/,gea-college.si,https://www.google.com/s2/favicons?domain=gea-college.si&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,SI PORTORO03,EVRO-SREDOZEMSKA UNIVERZA,INTERNATIONAL TRADE AND FINANCE,https://emuni.si/projects/erasmus-mobility/,emuni.si,https://www.google.com/s2/favicons?domain=emuni.si&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
SPAIN,E ALICANT01,UNIVERSIDAD DE ALICANTE,CIVIL ENGINEERING,https://sri.ua.es/es/movilidad/erasmus-ka131.html,sri.ua.es,https://www.google.com/s2/favicons?domain=sri.ua.es&sz=256
,,,COMPUTER ENGINEERING,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,SOFTWARE ENGINEERING,,,
,,,ECONOMICS AND FINANCE,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,ARCHITECTURE,,,
,E BARCELO01,UNIVERSITAT DE BARCELONA,ACCOUNTING AND FINANCE MANAGEMENT,https://www.ub.edu/uri/ka107/,ub.edu,https://www.google.com/s2/favicons?domain=ub.edu&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,SOCIOLOGY,,,
,E BARCELO33,"ESCUELA SUPERIOR DE DISEÑO Y MODA, S.L.",FASHION DESIGN,https://www.sevillademoda.es/escuela/oficina-erasmus/,sevillademoda.es,https://www.google.com/s2/favicons?domain=sevillademoda.es&sz=256
,,,TEXTILE and FASHION DESIGN,,,
,,,INTERIOR DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,DIGITAL GAME DESIGN,,,
,,,CARTOON and ANIMATION,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,E BARCELO45,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,FOOD TECHNOLOGY,https://www.uoc.edu/portal/en/universitat/internacional/mobilitat/estudiants/index.html,uoc.edu,https://www.google.com/s2/favicons?domain=uoc.edu&sz=256
,,,FOOD ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER  PROGRAMMING ,,,
,,,BUSINESS MANAGEMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DESIGN,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,SOFTWARE ENGINEERING,,,
,E CADIZ01,UNIVERSIDAD DE CADIZ,ARABIC LANGUAGE TEACHING,https://www.uca.es/category/erasmus/,uca.es,https://www.google.com/s2/favicons?domain=uca.es&sz=256
,,,TRANSLATION and INTERPRETING (English),,,
,,,TRANSLATION and INTERPRETING (Arabic),,,
,E CIUDA-R01,UNIVERSIDAD DE CASTILLA - LA MANCHA,ELECTRICAL and ELECTRONICS ENGINEERING,https://www.uclm.es/misiones/internacional/movilidad/programa-erasmus,uclm.es,https://www.google.com/s2/favicons?domain=uclm.es&sz=256
,E CORDOBA01,UNIVERSIDAD DE CORDOBA,TRANSLATION and INTERPRETING (English),https://www.uco.es/internacional/extranjeros/en/erasmus,uco.es,https://www.google.com/s2/favicons?domain=uco.es&sz=256
,,,ENGLISH LANGUAGE AND LITERATURE,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,APPLIED SPANISH-TURKISH TRANSLATION,,,
,E HUELVA01,UNIVERSIDAD DE HUELVA,BUSINESS MANAGEMENT,https://www.uhu.es/internacionalizacion/erasmus,uhu.es,https://www.google.com/s2/favicons?domain=uhu.es&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION and INTERPRETING (English),,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,APPLIED SPANISH-TURKISH TRANSLATION,,,
,E ELCHE01 ,MIGUEL HERNÁNDEZ UNIVERSITY OF ELCHE.,,https://internacional.umh.es/en/movilidad/estudiantes/erasmus/,internacional.umh.es,https://www.google.com/s2/favicons?domain=internacional.umh.es&sz=256
,,,,,,
,E LA-CORU01,UNIVERSIDADE DA CORUNA,INTERIOR DESIGN,https://www.udc.es/en/ori/entrantes/,udc.es,https://www.google.com/s2/favicons?domain=udc.es&sz=256
,,,ARCHITECTURE,,,
,E LAS-PAL43,UNIVERSIDAD FERNANDO PESSOA CANARIAS (MASTER DEL CONOCIMIENTO S.L.),DENTISTRY,https://ufpcanarias.es/movilidad/,ufpcanarias.es,https://www.google.com/s2/favicons?domain=ufpcanarias.es&sz=256
,,,JOURNALISM,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,MEDICINE,,,
,E MADRID238,UNIVERSIDAD UNIE,PRESCHOOL TEACHER TRAINING,https://www.universidadunie.com/en/unie-community/erasmus,universidadunie.com,https://www.google.com/s2/favicons?domain=universidadunie.com&sz=256
,,,ELEMENTARY EDUCATION,,,
,,,SPECIAL EDUCATION,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,BUSINESS MANAGEMENT ,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,CYBER SECURITY,,,
,,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,
,E MADRID12,UNIVERSITAS NEBRISSENSIS SA,BUSINESS MANAGEMENT ,https://www.nebrija.com/en/international-programmes/go-abroad-from-nebrija/erasmus-charter.php,nebrija.com,https://www.google.com/s2/favicons?domain=nebrija.com&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,ECONOMICS and FINANCE,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,E MALAGA01,UNIVERSIDAD DE MALAGA,ELECTRICAL and ELECTRONICS ENGINEERING,https://www.uma.es/relaciones-internacionales/cms/menu/erasmus/,uma.es,https://www.google.com/s2/favicons?domain=uma.es&sz=256
,,,ELECTRONIC TECHNOLOGY,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,MECHANICAL ,,,
,E MURCIA04,UNIVERSIDAD POLITECNICA DE CARTAGENA,COMPUTER ENGINEERING,https://international.upct.es/incoming,international.upct.es,https://www.google.com/s2/favicons?domain=international.upct.es&sz=256
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,E SALAMAN02,UNIVERSIDAD DE SALAMANCA,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://rel-int.usal.es/en/students/incoming-students/erasmus-student-mobility-for-studies,rel-int.usal.es,https://www.google.com/s2/favicons?domain=rel-int.usal.es&sz=256
,E SANTIAG09,FUNDACIÓN UNIVERSIDAD INTERCONTINENTAL DE LA EMPRESA,BUSINESS MANAGEMENT,https://uie.edu/movilidad-internacional-que-beneficios-tiene-para-tus-estudios/,uie.edu,https://www.google.com/s2/favicons?domain=uie.edu&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS ,,,
,,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,
,,,SOFTWARE DEVELOPMENTS,,,
,,,SOFTWARE ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,E VALENCI11,FUNDACION UNIVERSIDAD CATOLICA DE VALENCIA SAN VICENTE MARTIR,PHYSIOTHERAPY AND REHABILITATION,https://www.ucv.es/international/ucv-students-studying-abroad/programa-erasmus/erasmus-estudios,ucv.es,https://www.google.com/s2/favicons?domain=ucv.es&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,LAW,,,
,,,DENTISTRY (FOR STAFF ONLY),,,
,E VALENCI91,"UNIVERSIDAD EUROPEA DE VALENCIA, S.L.",BUSINESS MANAGEMENT,https://universidadeuropea.com/tu-experiencia/movilidad-internacional/,universidadeuropea.com,https://www.google.com/s2/favicons?domain=universidadeuropea.com&sz=256
